,contrast,dissimilarity,homogeneity,ASM,energy,label
2657,0.08590367260885472,0.2722845192286675,0.979306219059178,0.9393353442464064,0.9691931408374733,1
2658,0.028543317498596232,0.08753297402882244,0.993859692376797,0.9932760369694347,0.9966323479445338,1
2659,0.041295004604826296,0.12490166739458836,0.9914092981614621,0.9857550247796217,0.9928519651889808,1
2660,0.14034745124449974,0.32673026615904627,0.9815489867641514,0.953371872219398,0.9764076362971551,1
2661,0.054905633136283064,0.13285096958473083,0.991625657689719,0.9869188300389758,0.9934378843385103,1
2662,0.06171949055370939,0.14128838682163639,0.9908550482558917,0.978500303694333,0.9891917426335163,1
2663,0.13240602116975608,0.271036339323373,0.9860074255760947,0.9720027121172109,0.985901978959983,1
2664,0.10204517127869911,0.26967659026453283,0.983179243660135,0.963014155473223,0.9813328464253211,1
2665,0.12326734703088768,0.2575992293931934,0.986285728365009,0.9505374603787351,0.9749551068529951,1
2666,0.07166387333863229,0.1276211655122687,0.994152975842128,0.9883715572211713,0.9941687770299221,1
2667,0.042523275422049,0.06756906861621047,0.9963193971331,0.9929010024435098,0.9964441792912987,1
2668,0.08104554925449736,0.19343301996013187,0.9923876480099194,0.989787969149926,0.9948808818898499,1
2669,0.15350415159295872,0.26756374941925815,0.989036860168276,0.9708648225046771,0.9853247294697709,1
2670,0.09867031794098183,0.15823295201641355,0.9919896263630309,0.9787753590935411,0.9893307632402526,1
2671,0.13850691094168996,0.21999345157614272,0.9899399825202396,0.97493241830006,0.9873866609895333,1
2672,0.18067035621623004,0.28551941006804454,0.9878679902641393,0.9685326983385905,0.984140588705999,1
2673,0.14258717570769391,0.2123649107024448,0.9904450975317719,0.9725916133075965,0.9862005948627268,1
2674,0.05253985863341552,0.07836338422177223,0.9965247653111465,0.9957413920634741,0.9978684242240926,1
2675,0.027282076900994143,0.06166984962247318,0.9957182704297015,0.9939902721245577,0.9969906078416976,1
